regime,experiment,model,config_name,tn,fp,fn,tp
all_epochs,advanced_full,XGBoost,config_1,13160,3471,2360,1802
all_epochs,advanced_full,XGBoost,config_2,13059,3572,2315,1847
all_epochs,advanced_full,XGBoost,config_3,12680,3951,2192,1970
all_epochs,advanced_full,XGBoost,config_4,12652,3979,2169,1993
all_epochs,advanced_full,XGBoost,config_5,13572,3059,2585,1577
all_epochs,advanced_full,XGBoost,config_6,12999,3632,2237,1925
all_epochs,advanced_late_fusion,XGBoost,config_1,13648,2983,2451,1711
all_epochs,advanced_late_fusion,XGBoost,config_2,13704,2927,2418,1744
all_epochs,advanced_late_fusion,XGBoost,config_3,12957,3674,2172,1990
all_epochs,advanced_late_fusion,XGBoost,config_4,12909,3722,2143,2019
all_epochs,advanced_late_fusion,XGBoost,config_5,14230,2401,2682,1480
all_epochs,advanced_late_fusion,XGBoost,config_6,13282,3349,2255,1907
all_epochs,advanced_respiratory,XGBoost,config_1,12304,4327,2334,1828
all_epochs,advanced_respiratory,XGBoost,config_2,12379,4252,2336,1826
all_epochs,advanced_respiratory,XGBoost,config_3,11969,4662,2128,2034
all_epochs,advanced_respiratory,XGBoost,config_4,11910,4721,2122,2040
all_epochs,advanced_respiratory,XGBoost,config_5,13000,3631,2558,1604
all_epochs,advanced_respiratory,XGBoost,config_6,12157,4474,2240,1922
all_epochs,advanced_respiratory_spo2,XGBoost,config_1,12806,3825,2171,1991
all_epochs,advanced_respiratory_spo2,XGBoost,config_2,12848,3783,2201,1961
all_epochs,advanced_respiratory_spo2,XGBoost,config_3,12527,4104,2039,2123
all_epochs,advanced_respiratory_spo2,XGBoost,config_4,12606,4025,2023,2139
all_epochs,advanced_respiratory_spo2,XGBoost,config_5,13242,3389,2338,1824
all_epochs,advanced_respiratory_spo2,XGBoost,config_6,12784,3847,2076,2086
all_epochs,advanced_spo2,XGBoost,config_1,12467,4164,2140,2022
all_epochs,advanced_spo2,XGBoost,config_2,12371,4260,2094,2068
all_epochs,advanced_spo2,XGBoost,config_3,12175,4456,2019,2143
all_epochs,advanced_spo2,XGBoost,config_4,12161,4470,2003,2159
all_epochs,advanced_spo2,XGBoost,config_5,12600,4031,2190,1972
all_epochs,advanced_spo2,XGBoost,config_6,12346,4285,2049,2113
sleep_only,advanced_full,XGBoost,config_1,9224,3356,2001,1486
sleep_only,advanced_full,XGBoost,config_2,9157,3423,1990,1497
sleep_only,advanced_full,XGBoost,config_3,8412,4168,1755,1732
sleep_only,advanced_full,XGBoost,config_4,8451,4129,1742,1745
sleep_only,advanced_full,XGBoost,config_5,9604,2976,2193,1294
sleep_only,advanced_full,XGBoost,config_6,8902,3678,1884,1603
sleep_only,advanced_late_fusion,XGBoost,config_1,9835,2745,2106,1381
sleep_only,advanced_late_fusion,XGBoost,config_2,9712,2868,2106,1381
sleep_only,advanced_late_fusion,XGBoost,config_3,8827,3753,1820,1667
sleep_only,advanced_late_fusion,XGBoost,config_4,8819,3761,1838,1649
sleep_only,advanced_late_fusion,XGBoost,config_5,10417,2163,2337,1150
sleep_only,advanced_late_fusion,XGBoost,config_6,9272,3308,1994,1493
sleep_only,advanced_respiratory,XGBoost,config_1,9193,3387,1905,1582
sleep_only,advanced_respiratory,XGBoost,config_2,9182,3398,1969,1518
sleep_only,advanced_respiratory,XGBoost,config_3,8649,3931,1783,1704
sleep_only,advanced_respiratory,XGBoost,config_4,8665,3915,1781,1706
sleep_only,advanced_respiratory,XGBoost,config_5,9798,2782,2135,1352
sleep_only,advanced_respiratory,XGBoost,config_6,8908,3672,1874,1613
sleep_only,advanced_respiratory_spo2,XGBoost,config_1,9318,3262,1832,1655
sleep_only,advanced_respiratory_spo2,XGBoost,config_2,9314,3266,1831,1656
sleep_only,advanced_respiratory_spo2,XGBoost,config_3,8926,3654,1647,1840
sleep_only,advanced_respiratory_spo2,XGBoost,config_4,8947,3633,1635,1852
sleep_only,advanced_respiratory_spo2,XGBoost,config_5,9722,2858,2030,1457
sleep_only,advanced_respiratory_spo2,XGBoost,config_6,9169,3411,1764,1723
sleep_only,advanced_spo2,XGBoost,config_1,8989,3591,1739,1748
sleep_only,advanced_spo2,XGBoost,config_2,9020,3560,1747,1740
sleep_only,advanced_spo2,XGBoost,config_3,8905,3675,1681,1806
sleep_only,advanced_spo2,XGBoost,config_4,8894,3686,1669,1818
sleep_only,advanced_spo2,XGBoost,config_5,9183,3397,1836,1651
sleep_only,advanced_spo2,XGBoost,config_6,8988,3592,1713,1774
