experiment,components,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,max_f1,0.45,0.5830584427708969,0.2824437821728529,0.5979351878405507,0.5789348171701113,0.3836599503174165,7283,5297,1402,2085,0.17687000501066197
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,max_youden,0.45,0.5830584427708969,0.2824437821728529,0.5979351878405507,0.5789348171701113,0.3836599503174165,7283,5297,1402,2085,0.17687000501066197
resnet_causal_61,resnet_150s,rolling_mean_causal,61,False,True,sensitivity_ge_0_70_max_specificity,0.35,0.4410281944358001,0.24512896641306364,0.7576713507312877,0.3532591414944356,0.3704171048019628,4444,8136,845,2642,0.11093049222572327
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,max_f1,0.5,0.6729943362170909,0.32901103154635186,0.48752509320332665,0.7244038155802862,0.39288190432170095,9113,3467,1787,1700,0.21192890878361292
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,max_youden,0.5,0.6729943362170909,0.32901103154635186,0.48752509320332665,0.7244038155802862,0.39288190432170095,9113,3467,1787,1700,0.21192890878361292
resnet_causal_121,resnet_150s,rolling_mean_causal,121,False,True,sensitivity_ge_0_70_max_specificity,0.35,0.438974295139105,0.2488412251204217,0.7852021795239461,0.3430047694753577,0.37791580400276054,4315,8265,749,2738,0.12820694899930385
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,max_f1,0.45,0.6023526482853053,0.294067556060176,0.5942070547748781,0.6046104928457869,0.393430171840881,7606,4974,1415,2072,0.19881754762066506
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,max_youden,0.45,0.6023526482853053,0.294067556060176,0.5942070547748781,0.6046104928457869,0.393430171840881,7606,4974,1415,2072,0.19881754762066506
cnn90_resnet_causal_31_mean,cnn_90s_context + resnet_150s,equal_mean_causal,31,False,True,sensitivity_ge_0_70_max_specificity,0.35,0.4218584676666459,0.24107461620849696,0.7745913392601089,0.3240858505564388,0.36770812061806546,4077,8503,786,2701,0.09867718981654772
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,max_f1,0.45,0.625318976784714,0.3051238652100323,0.568683682248351,0.6410174880763116,0.3971560184257961,8064,4516,1504,1983,0.20970117032466273
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,max_youden,0.45,0.625318976784714,0.3051238652100323,0.568683682248351,0.6410174880763116,0.3971560184257961,8064,4516,1504,1983,0.20970117032466273
cnn90_resnet_causal_121_mean,cnn_90s_context + resnet_150s,equal_mean_causal,121,False,True,sensitivity_ge_0_70_max_specificity,0.35,0.41382958859774693,0.2398912376107359,0.7843418411241755,0.3111287758346582,0.3674099946265449,3914,8666,752,2735,0.09547061695883374
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,max_f1,0.45,0.5913985187029315,0.2891203069334064,0.6051046745053055,0.5875993640699523,0.3912841910060269,7392,5188,1377,2110,0.19270403857525764
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,max_youden,0.45,0.5913985187029315,0.2891203069334064,0.6051046745053055,0.5875993640699523,0.3912841910060269,7392,5188,1377,2110,0.19270403857525764
cnn30_resnet_causal_121_mean,cnn_30s + resnet_150s,equal_mean_causal,121,False,True,sensitivity_ge_0_70_max_specificity,0.4,0.4873342876703803,0.26000404203718674,0.7378835675365644,0.4178855325914149,0.38451767167301804,5257,7323,914,2573,0.1557691001279793
