input_mode,input_shape,postprocessing,smoothing_window_epochs,smoothing_centered,offline_retrospective,offline_retrospective_smoothing,selection_rule,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
cnn_150s_context,4x1200,raw,0,False,True,False,max_f1,0.45,0.5684321902035228,0.27163111170001325,0.5878979065098939,0.5630365659777424,0.37157875657059997,7083,5497,1437,2050,0.15093447248763647
cnn_150s_context,4x1200,raw,0,False,True,False,max_youden,0.5,0.6188460820314932,0.28819277108433733,0.5144823630628047,0.6477742448330683,0.3694398682042834,8149,4431,1693,1794,0.16225660789587293
cnn_150s_context,4x1200,raw,0,False,True,False,sensitivity_ge_0_70_max_specificity,0.35,0.4590153731250389,0.24627083942673297,0.7244049326068254,0.3854531001589825,0.36757857974388825,4849,7731,961,2526,0.10985803276580786
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,max_f1,0.45,0.5699881745192008,0.27301671530910054,0.5901921422426154,0.5643879173290938,0.37333333333333335,7100,5480,1429,2058,0.15458005957170906
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,max_youden,0.45,0.5699881745192008,0.27301671530910054,0.5901921422426154,0.5643879173290938,0.37333333333333335,7100,5480,1429,2058,0.15458005957170906
cnn_150s_context,4x1200,rolling_mean_causal,15,False,True,False,sensitivity_ge_0_70_max_specificity,0.35,0.45185784527291967,0.2474363843524497,0.7473472899340408,0.3699523052464229,0.3717811541479421,4654,7926,881,2606,0.11729959518046362
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,max_f1,0.35,0.4566502769652082,0.25087902689347147,0.7570977917981072,0.3733704292527822,0.37687366167023556,4697,7883,847,2640,0.1304682210508894
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,max_youden,0.5,0.6222692475259849,0.28884527314360486,0.5064525379982793,0.6543720190779014,0.3678783460056244,8232,4348,1721,1766,0.1608245570761806
cnn_150s_context,4x1200,rolling_mean_centered,15,True,True,True,sensitivity_ge_0_70_max_specificity,0.35,0.4566502769652082,0.25087902689347147,0.7570977917981072,0.3733704292527822,0.37687366167023556,4697,7883,847,2640,0.1304682210508894
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,max_f1,0.45,0.573100143150557,0.27798261785620226,0.6053914539718956,0.5641494435612082,0.38101254399422435,7097,5483,1376,2111,0.16954089753310386
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,max_youden,0.45,0.573100143150557,0.27798261785620226,0.6053914539718956,0.5641494435612082,0.38101254399422435,7097,5483,1376,2111,0.16954089753310386
cnn_150s_context,4x1200,rolling_mean_causal,31,False,True,False,sensitivity_ge_0_70_max_specificity,0.35,0.44482479616605464,0.24552693208430915,0.7516489819328936,0.35977742448330685,0.37014545968083606,4526,8054,866,2621,0.1114264064162005
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,max_f1,0.4,0.5103628555424161,0.2623697916666667,0.6934327502150845,0.45961844197138313,0.38069747303786505,5782,6798,1069,2418,0.15305119218646768
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,max_youden,0.45,0.5711084832264891,0.27658177999474926,0.6042443361055349,0.5619236883942766,0.3794687077892841,7069,5511,1380,2107,0.16616802449981138
cnn_150s_context,4x1200,rolling_mean_centered,31,True,True,True,sensitivity_ge_0_70_max_specificity,0.35,0.45378726582436046,0.2514801240484917,0.7674218525953542,0.366852146263911,0.37882219705549264,4615,7965,811,2676,0.13427399885926516
