feature,permutation_importance_mean,permutation_importance_std
roll3_max_flow_low_amplitude_ratio,0.016084465176817154,0.0037496171449271556
spo2_std,0.016025700299680222,0.003831169847132755
rn_spo2_drop_from_median,0.014831394042229783,0.0022202727503666713
rn_spo2_range,0.012057243629771352,0.001694983413636534
rn_spo2_max,0.010997203069506545,0.0015374091535634282
spo2_drop_from_median,0.010327191912308863,0.0020095413829681057
rn_spo2_below_90_ratio,0.007390672596404202,0.0016474354670847438
roll3_mean_flow_energy,0.006772181436875335,0.0006108219130871456
rn_spo2_min,0.005325598219747296,0.0017857135327860219
rn_flow_min,0.004503266025261621,0.0004700361344009013
roll3_min_flow_low_amplitude_ratio,0.004336715646536937,0.0006726531234622604
rn_spo2_below_92_ratio,0.004221171760880882,0.0005420012186104217
flow_zero_crossing_rate,0.0037196968185351674,0.0010830181729273086
spo2_max,0.0031861126730865163,0.0010273629499833372
rn_flow_zero_crossing_rate,0.002906773957666975,0.0004267422563837565
roll3_mean_spo2_min,0.0029049017785611974,0.0011044399280710471
spo2_range,0.0026835447141107414,0.001471574831975713
rn_flow_mean,0.0023224685361707296,0.0003165635338323391
roll3_max_spo2_mean,0.0022875387722188223,0.000794876215045226
rn_spo2_slope,0.0020480434522999746,0.0005369517652325552
roll3_min_flow_energy,0.0019227862184201916,0.0004684136535609912
flow_min,0.0018440452358687743,0.0009566984888023729
roll3_mean_spo2_mean,0.0017246504366773107,0.0004798535759878194
flow_max,0.0017118763986358587,0.0002609912890388486
next1_spo2_min,0.0016833640410871098,0.0005195905598451187
flow_low_amplitude_ratio,0.0015482974622548773,0.00034433886498413436
rn_spo2_std,0.0015385493677055662,0.0003858506491281739
rn_flow_energy,0.0014010768239232196,0.00037160161195491236
roll3_max_spo2_min,0.001353172229543187,0.00018394959884580854
roll3_mean_flow_low_amplitude_ratio,0.0009824917820006273,0.001425007421040166
flow_mean,0.000890324328194425,0.0003538281412951763
flow_rms,0.0008190557169733825,0.00028766861894523104
rn_flow_max,0.0007631142102360267,0.0003774441016268457
rn_spo2_mean,0.0007614281424676572,0.00013154189515725715
flow_range,0.000710573554188576,0.0007253618895084345
rn_flow_abs_mean,0.0006903698403535774,0.0003577434399405805
spo2_slope,0.0006014888882641456,0.00030305780580186937
prev1_spo2_mean,0.0005619745546993849,7.706601224740543e-05
roll3_max_spo2_below_90_ratio,0.0005606031915138532,0.00022374186047080492
rn_flow_range,0.00045617411332865565,0.0002161139321239651
roll3_max_flow_energy,0.000348095464935394,8.683520349592998e-05
roll3_min_spo2_mean,0.0003227702781002373,6.529465670196992e-05
rn_flow_rms,0.000279693680230797,0.00013613335515171268
next1_spo2_below_92_ratio,0.00022984354181514454,8.423749539681198e-05
roll3_min_spo2_below_90_ratio,0.00022334116136661918,0.00021567985647244023
roll3_min_spo2_min,0.0002111364393954873,0.0008888067497812161
prev1_flow_low_amplitude_ratio,0.00019995513783738206,5.3653835870466426e-05
next1_flow_low_amplitude_ratio,0.00017768602128579448,0.00017967482591897655
next1_spo2_below_90_ratio,0.00017075431771000903,8.042581388377781e-05
rn_flow_std,0.00015940043057977027,7.613855857506906e-05
flow_abs_mean,0.0001374237904822162,0.00021311293218189147
prev1_spo2_min,0.00013202423815918962,5.770800890964823e-05
flow_std,0.0001304049402506502,4.7855166091618495e-05
spo2_min,0.00010920930970113041,0.00011516850598687204
prev1_flow_energy,9.106987030913505e-05,7.17955758624215e-05
roll3_min_spo2_below_92_ratio,7.675132162685561e-05,3.602251853788531e-05
rn_flow_low_amplitude_ratio,6.530995833918807e-05,0.0001360918072422373
roll3_mean_spo2_below_90_ratio,5.622276336575416e-05,2.0970813532637812e-05
next1_flow_energy,4.9682990270139005e-05,4.692296479464457e-05
spo2_mean,3.4694210742580725e-05,4.5591292087281415e-05
prev1_spo2_below_90_ratio,0.0,0.0
next1_spo2_mean,0.0,0.0
flow_energy,0.0,0.0
prev1_spo2_below_92_ratio,0.0,0.0
spo2_below_92_ratio,0.0,0.0
roll3_mean_spo2_below_92_ratio,0.0,0.0
roll3_max_spo2_below_92_ratio,0.0,0.0
spo2_below_90_ratio,-1.484580080755027e-05,4.9956858224700244e-05
