regime,feature_variant,experiment,n_features,roc_auc_mean,roc_auc_std,f1_mean,sensitivity_mean,specificity_mean,average_precision_mean
all_epochs,base,flow_only,10,0.600668396343029,0.0433678861796653,0.334042164070755,0.4766523637734489,0.6631836579459858,0.2737127847732132
all_epochs,base,respiratory_spo2_fusion,41,0.6200515796115463,0.0497586334374052,0.3419044216811095,0.501406639978922,0.661757967871176,0.3046268004604634
all_epochs,base,late_fusion,53,0.6210311735518346,0.0507267375422119,0.3222162627692514,0.3990519289387785,0.7538881965850635,0.3033398254283577
all_epochs,enhanced,flow_only,30,0.6327382432038429,0.055778087858543,0.3420387031700501,0.489810755433266,0.6734533077711278,0.3018086729560433
all_epochs,enhanced,spo2_only,38,0.6640245992242504,0.0857023273665731,0.3798140588497166,0.506053484763497,0.7212678855454444,0.3482567863459942
all_epochs,enhanced,respiratory_spo2_fusion,127,0.6657025320107189,0.073645964346774,0.3976777277711126,0.5485545507426142,0.7009542397620846,0.3505968863125284
all_epochs,enhanced,late_fusion,151,0.6686696443905491,0.0701015830148752,0.3541673185001628,0.4351495598416587,0.7687573709009619,0.3606772078932508
sleep_only,enhanced,spo2_only,38,0.6725111969979165,0.0570095966512251,0.4151766402299229,0.5264089846207652,0.7175984895645996,0.3717204264525869
sleep_only,enhanced,respiratory_spo2_fusion,127,0.6454412797307248,0.0778997667730832,0.383941854640108,0.4861848641532592,0.7164965463852677,0.351576602270575
sleep_only,enhanced,late_fusion,151,0.6548241427523864,0.0782837001283762,0.3853352180952831,0.4311117332850077,0.7791218684289769,0.3626433861864124
