experiment,model,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,tn_mean,fp_mean,fn_mean,tp_mean
ecg_only,XGBoost,12,0.621628705507487,0.10408058814854557,0.20330687204175485,0.06250757395698468,0.28056782763136795,0.15420509568818414,0.7084995212646158,0.1514870248328646,0.21412698321018114,0.07958100735486232,0.5409883706321016,0.07441609145089884,0.22009811751891642,0.03491779621460147,2351.4,974.8,601.2,231.2
effort_only,XGBoost,22,0.5959159466209633,0.07644889736980756,0.2496126121174503,0.05799984105593206,0.4966972366693553,0.18388100800030682,0.6234717426441511,0.1351794609200173,0.3225602691441989,0.0603412557876956,0.5761626647139895,0.05121687505476314,0.24823536215174963,0.053404608607855196,2069.2,1257.0,422.6,409.8
flow_only,XGBoost,10,0.6260391594081536,0.07661915738404115,0.2664672572470982,0.031255950910548475,0.4766523637734489,0.1242025654075815,0.6631836579459858,0.12041199806839262,0.33404216407075504,0.03333908999584408,0.600668396343029,0.04336788617966538,0.27371278477321326,0.03504558380240309,2212.4,1113.8,439.2,393.2
full_core_fusion,LogisticRegression,53,0.6056978657906998,0.11140712030987505,0.262447918232603,0.05161912977697846,0.5014793180745343,0.23560423813958234,0.6269958214042918,0.19588855650043674,0.32768851648250613,0.06578833528790884,0.6059321038359624,0.07849183146106588,0.29858888187424965,0.11048546559936398,2099.4,1226.8,408.6,423.8
full_core_fusion,RandomForest,53,0.7980414994844602,0.025988728464542504,0.4446105919003115,0.2934422679703018,0.011476697967044284,0.0175427091131403,0.9952061806695133,0.009542325143848158,0.020745990578911022,0.030441092205839793,0.577800855533391,0.06908013079389029,0.26359118634036305,0.07011632290036404,3309.6,16.6,823.6,8.8
full_core_fusion,XGBoost,53,0.6602037582025633,0.08380245011176232,0.2759763622904606,0.07784622517503335,0.4071329231076201,0.19871956552130499,0.7199271243474141,0.13791861366862504,0.31187505870215043,0.09353176219276439,0.5965639306347116,0.07480944783591502,0.2776168930146596,0.07644532202300917,2395.6,930.6,486.6,345.8
full_minus_ecg,XGBoost,41,0.6296008412868197,0.08205600027109054,0.2724950363353802,0.03763023328122921,0.501406639978922,0.19368946025620568,0.661757967871176,0.1417337186365442,0.3419044216811095,0.0600007313437128,0.6200515796115463,0.049758633437405254,0.3046268004604634,0.08542922146363617,2201.8,1124.4,416.8,415.6
full_minus_effort,XGBoost,31,0.6560524506197533,0.06386726742402339,0.27757149505909207,0.07278611392406459,0.42726454832891675,0.14278893053456976,0.7103710391533222,0.09542706483843177,0.32818044320682827,0.07818079663252107,0.597689068423312,0.08443145779484051,0.28548624139110773,0.07293981013109703,2364.8,961.4,472.4,360.0
full_minus_flow,XGBoost,43,0.6624823221038323,0.08564791531916674,0.2788514415026727,0.0970970395896325,0.3963606119100124,0.17188121525343233,0.7252397175074959,0.13035175395063767,0.3124065245187858,0.10403643370592826,0.5863829958501047,0.08438579630069269,0.2777840684161716,0.08300828663735162,2408.4,917.8,492.6,339.8
full_minus_spo2,XGBoost,44,0.6519583356771079,0.11920405885126677,0.2613619895803583,0.0572621162136865,0.3484507744405128,0.21831015557184424,0.7288932123516675,0.19642542747917324,0.26685640729510773,0.058805036303510194,0.5837300459553243,0.028551363778273213,0.24387904355327947,0.030614254921992982,2424.0,902.2,545.2,287.2
late_fusion,XGBoost,53,0.6828357788402167,0.09112170560292893,0.30254513745267186,0.06768196721911461,0.39905192893877856,0.19663194756252295,0.7538881965850635,0.15531091154244797,0.32221626276925147,0.07628977290298786,0.6210311735518346,0.050726737542211936,0.30333982542835775,0.06337274216107494,2507.2,819.0,500.6,331.8
respiratory_fusion,XGBoost,32,0.6275885680402938,0.10054204244423832,0.27173966651957676,0.044458792415431145,0.4836427590088338,0.2301676314069467,0.6663415549188783,0.18052276274735923,0.32662311916495346,0.06041293677726247,0.6118727354706978,0.01770631542744358,0.2802417091858331,0.054747726551104874,2216.8,1109.4,437.0,395.4
respiratory_spo2_fusion,XGBoost,41,0.6296008412868197,0.08205600027109054,0.2724950363353802,0.03763023328122921,0.501406639978922,0.19368946025620568,0.661757967871176,0.1417337186365442,0.3419044216811095,0.0600007313437128,0.6200515796115463,0.049758633437405254,0.3046268004604634,0.08542922146363617,2201.8,1124.4,416.8,415.6
spo2_only,XGBoost,9,0.6384979594529726,0.0448020374637119,0.25969208607325833,0.06661799885173506,0.4613154893887358,0.17402041689463632,0.6780672035785956,0.0741130564084941,0.3296717891622318,0.10013727053371507,0.5822866019161956,0.08279848058360727,0.27974196314108457,0.09912253553294094,2258.6,1067.6,439.0,393.4
